,ro,rup,rup_std,rup_cun,en,es,fr,split
0,teoria și practica,teoria și practica,teoria și practica,teoria shi practica,theory and practice,teoría y práctica,théorie et pratique,train
1,"sunt unele deprinderi pe care le câștigi doar citind, ori vorbindu-ți-se despre ele. dar mai sunt și din cele ce nu ne intră în cap, până nu le vedem cu ochii. cât trăim multe auzim și multe vedem, dar cu toate astea nimic nu vom ști ca lumea până nu punem mâna să și facem ceea ce ne pare că știm. cu alte cuvinte, vreau să spun eu, teoria e bună ea, deseori, dar câte o dată rămâne de căruță față de practică.","sănt îndoauă învețuri, cari si amintă mași cu ghivăsirea, i cu avdzărea. sănt și îndoauă alte lucri, cari nu intră tu caplu a omlui pînă s-nu li videm ș-cu ocl'i. căt bănăm multe avdzăm și multe videm, ma cu tute aiste țiva nu știm, pînă s-nu băgăm măna ca s-adrăm ațea ți nă si pare că știm. cu alte zboară, voi ca s-dzîc eu că teoria easte bună, di multe ori, ama căte unoară armăne multu ma-nghios di practica.","sănt îndoauă învețuri, cari si amintă mași cu ghivăsirea, i cu avd̦ărea. sănt și îndoauă alte lucri, cari nu intră tu caplu a omlui pînă s-nu li videm ș-cu ocľi. căt bănăm multe avd̦ăm și multe videm, ma cu tute aiste țiva nu știm, pînă s-nu băgăm măna ca s-adrăm ațea ți nă si pare că știm. cu alte zboară, voi ca s-d̦îc eu că teoria easte bună, di multe ori, ama căte unoară armăne multu ma-nghios di practica.","sãnt ãndoauã ãnvetsuri, cari si amintã mashi cu ghivãsirea, i cu avdzãrea. sãnt shi ãndoauã alte lucri, cari nu intrã tu caplu a omlui pãnã s-nu li videm sh-cu oclji. cãt bãnãm multe avdzãm shi multe videm, ma cu tute aiste tsiva nu shtim, pãnã s-nu bãgãm mãna ca s-adrãm atsea tsi nã si pare cã shtim. cu alte zboarã, voi ca s-dzãc eu cã teoria easte bunã, di multe ori, ama cãte unoarã armãne multu ma-nghios di practica.","there are some skills you gain just by reading or being talked about. but there are also some that don't sink in until you see them for yourself. while we live much we hear, and much we see, but yet nothing we shall know properly until we put our hand to and do what we seem to know. in other words, i mean, theory is good theory, often, but sometimes it falls by the wayside compared to practice.","hay algunas habilidades que se adquieren con sólo leerlas o que te hablen de ellas. pero también hay algunas que no se asimilan hasta que las ves por ti mismo. mientras vivimos, mucho oímos y mucho vemos, pero, sin embargo, nada sabremos bien hasta que pongamos manos a la obra y hagamos lo que parece que sabemos. en otras palabras, quiero decir, la teoría es buena teoría, a menudo, pero a veces se queda en el camino comparada con la práctica.","il y a des compétences que l'on acquiert simplement en lisant ou en entendant parler d'elles. mais il y en a aussi qui ne s'acquièrent pas tant qu'on ne les a pas vues de ses propres yeux. pendant que nous vivons, nous entendons beaucoup de choses, nous voyons beaucoup de choses, mais nous ne saurons rien de précis tant que nous n'aurons pas mis la main à la pâte et fait ce que nous semblons savoir. en d'autres termes, je veux dire que la théorie est souvent une bonne théorie, mais qu'elle est parfois reléguée au second plan par rapport à la pratique.",train
2,"așa grăia într-un rând un bătrân înțelept către niște tineri ce încă nu ieșiseră din școală, și care își făceau ideea cum că... nimeni nu-i mai învățat ca ei, și că... tot ce zboară, se mănâncă!","ași zbura unoară un auș cu minte, cătră-ndoi tiniri cari ninga nu avea ișetă dit școală, și cari aveau ideia că... vîrnu nu poate si știe ca năși, că... tut ți-azboairă, s-măcă!","ași zbura unoară un auș cu minte, cătră-ndoi tiniri cari ninga nu avea ișetă dit școală, și cari aveau ideia că... vîrnu nu poate si știe ca năși, că... tut ți-azboairă, s-măcă!","ashi zbura unoarã un aush cu minte, cãtrã-ndoi tiniri cari ninga nu avea ishetã dit shcoalã, shi cari aveau ideia cã... vãrnu nu poate si shtie ca nãshi, cã... tut tsi-azboairã, s-mãcã!","so said a wise old man once to young people who had not yet left school, and who had the idea that... no one was as learned as they were, and that... what goes around comes around!","así se lo dijo una vez un viejo sabio a unos jóvenes que aún no habían dejado la escuela y que tenían la idea de que... nadie era tan culto como ellos y que... ¡lo que va, vuelve!",c'est ce qu'a dit un jour un vieux sage à des jeunes qui n'avaient pas encore quitté l'école et qui pensaient que... personne n'était aussi savant qu'eux et que... on récolte ce que l'on sème !,train
3,"ca să pricepeți ce vă spusei până aici, luați seama la frumoasa anecdotă pe care le-a povestit-o bătrânul, tinerilor:","ca s-lă da s-achicăsească ți va dzîșu pîn aua, ascultaț ți aleaptă părăvulie lă spuse aușlu:","ca s-lă da s-achicăsească ți va d̦îșu pîn aua, ascultaț ți aleaptă părăvulie lă spuse aușlu:","ca s-lã da s-achicãseascã tsi va dzãshu pãn aua, ascultats tsi aleaptã pãrãvulie lã spuse aushlu:","to understand what i have told you so far, consider the beautiful anecdote that the old man told the young people:","para comprender lo que te he dicho hasta ahora, considera la hermosa anécdota que el anciano contó a los jóvenes:","pour comprendre ce que je vous ai dit jusqu'à présent, considérez la belle anecdote que le vieil homme a racontée aux jeunes:",train
4,"cică un împărat dintre cei mai înțelepți și umblat, nu glumă, și-a pus în gând să arate că, uneori, teoria singură nu ajută îndeajuns, și că omul deștept se cheamă că e cu adevărat deștept, atunci când, pe lângă teorie, mai are și ceva practică. și așa, ca să priceapă mai bine asta, așeză el, împăratul, în mijlocul unei odăi lungă de opt coți, largă de cinci și înaltă de patru coți, un castron cât toate zilele, plin cu pilaf dulce, și aduse și două linguri, lungi de șase coți și ele. apoi chemă pe cei mai învățați oameni din lume și le zise că îi va face mari vizitiri, dacă or putea ei să mănânce din pilaful ăsta: să luați lingurile de le vedeți acia, dar fără să urniți castronul din loc, și fără să vă apropiați de el!","un amiră cu multe dhrăñi în cap și alăgat căt vreț, își dzîse si spună că, nîscînte ori, teoria singură nu agiută cît lipseaște, și că atunțea s-acl'eamă omlu mintimen, cănd, pi ninga teorie, are și puțînă practică. tr-ațea, ca să s-a-duchească ma ghine aist lucru, băgă el, amirălu, nolgica di ună odă, lungă din opt coț, largă di ținți și di patru coț analtp un cățăn mare, plin cu pileaf dulțe, și aduse și doauă linguri di șase coț ș-aiste. acl'imă pi nai cama învițațl'i oamiñi di tut laolu, și lă dzîse că va s-l'i facă proț-viziri, s-puteare el'i s-măcă di pileafu aist: s-măcaț cu lingurile ți li videț ația, ma fără ca s-mișcaț cățănlu di tru loc și fără s-v-aprucheaț di el!","un amiră cu multe dhrăńi în cap și alăgat căt vreț, își d̦îse si spună că, nîscînte ori, teoria singură nu agiută cît lipseaște, și că atunțea s-acľeamă omlu mintimen, cănd, pi ninga teorie, are și puțînă practică. tr-ațea, ca să s-a-duchească ma ghine aist lucru, băgă el, amirălu, nolgica di ună odă, lungă din opt coț, largă di ținți și di patru coț analtp un cățăn mare, plin cu pileaf dulțe, și aduse și doauă linguri di șase coț ș-aiste. acľimă pi nai cama învițațľi oamińi di tut laolu, și lă d̦îse că va s-ľi facă proț-viziri, s-puteare eľi s-măcă di pileafu aist: s-măcaț cu lingurile ți li videț ația, ma fără ca s-mișcaț cățănlu di tru loc și fără s-v-aprucheaț di el!","un amirã cu multe dhrãnji ãn cap shi alãgat cãt vrets, ãshi dzãse si spunã cã, nãscãnte ori, teoria singurã nu agiutã cãt lipseashte, shi cã atuntsea s-acljeamã omlu mintimen, cãnd, pi ninga teorie, are shi putsãnã practicã. tr-atsea, ca sã s-a-ducheascã ma ghine aist lucru, bãgã el, amirãlu, nolgica di unã odã, lungã din opt cots, largã di tsintsi shi di patru cots analtp un cãtsãn mare, plin cu pileaf dultse, shi aduse shi doauã linguri di shase cots sh-aiste. acljimã pi nai cama ãnvitsatslji oaminji di tut laolu, shi lã dzãse cã va s-lji facã prots-viziri, s-puteare elji s-mãcã di pileafu aist: s-mãcats cu lingurile tsi li videts atsia, ma fãrã ca s-mishcats cãtsãnlu di tru loc shi fãrã s-v-aprucheats di el!","some wise emperor and a wise man, not a joke set out to show that sometimes theory alone is not enough, and that a smart man is really smart when, in addition to theory, he has some practice. and so, that he might understand this better, he, the king, placed in the middle of a dining-room eight cubits long, five cubits wide, and four cubits high, a bowl as big as a bowl of sweet pilaf, and brought two spoons, also six cubits long. then he called the most learned men in the world, and said to them that he would pay them great visits, if they could eat of this pilaf: take the spoons as you see them here, but do not turn the bowl away, and do not come near it.","algún sabio emperador -y un sabio, no un chiste- se propuso demostrar que, a veces, la teoría por sí sola no basta, y que un hombre inteligente lo es de verdad cuando, además de teoría, tiene algo de práctica. y así, para entenderlo mejor, él, el rey, colocó en medio de un comedor de ocho codos de largo, cinco de ancho y cuatro de alto, un cuenco tan grande como un tazón de pilaf dulce, y trajo dos cucharas, también de seis codos de largo. entonces llamó a los hombres más sabios del mundo y les dijo que les haría grandes visitas si podían comer de este pilaf: tomad las cucharas como las veis aquí, pero no apartéis el cuenco ni os acerquéis a él.","un sage empereur et un sage, ce n'est pas une blague a voulu montrer que parfois la théorie ne suffit pas, et qu'un homme intelligent est vraiment intelligent quand, en plus de la théorie, il a de la pratique. pour mieux comprendre cela, le roi plaça au milieu d'une salle à manger, huit coudées de long, cinq coudées de large et quatre coudées de haut, un bol aussi grand qu'un bol de riz pilaf sucré, et apporta deux cuillères, également longues de six coudées. il appela les hommes les plus savants du monde et leur dit qu'il leur rendrait de grandes visites s'ils pouvaient manger de ce pain: prenez les cuillères comme vous les voyez ici, mais ne détournez pas l'écuelle et ne vous en approchez pas.",train
5,"s-au sucit, s-au învârtit bieții învățați, și, văzând ei că nu izbândesc, îi ziseră împăratului că ce vrea el, nicicum nu e cu putință.","si șuțîră, si-anvîrtiră lail'i-nvitaț, și vidzîndalui că nu putură s-facă țiva, îl'i dzîsiră a amirălui că ațea ți caftă năs, vărnă oară nu poate ca s-hibă.","si șuțîră, si-anvîrtiră laiľi-nvitaț, și vid̦îndalui că nu putură s-facă țiva, îľi d̦îsiră a amirălui că ațea ți caftă năs, vărnă oară nu poate ca s-hibă.","si shutsãrã, si-anvãrtirã lailji-nvitats, shi vidzãndalui cã nu puturã s-facã tsiva, ãlji dzãsirã a amirãlui cã atsea tsi caftã nãs, vãrnã oarã nu poate ca s-hibã.","the poor scholars twisted and turned, and, seeing that they could not succeed, told the emperor that what he wanted was impossible.","los pobres eruditos se retorcieron y, viendo que no lo conseguían, le dijeron al emperador que lo que quería era imposible.","les pauvres savants se tournent et se retournent et, voyant qu'ils n'y parviennent pas, disent à l'empereur que ce qu'il veut est impossible.",train
6,"dacă văzu împăratul asta, mai chemă un om, care nu prea știa el carte, dar avea multă practică și îi mergea mintea la multe. ăsta, cum află ce vrea împăratul, fără-a mai sta pe gânduri, îi zise unuia dintre învățați:","atunțea amirălu acl'imă un alt om, cari nu știa ahîntă carte, ma eara cu multă practică și l'i-afita caplu ti multe. aist, cum află ți va amirălu, fără multă minduire, îl'i dzîse a unuia di învițațl'i:","atunțea amirălu acľimă un alt om, cari nu știa ahîntă carte, ma eara cu multă practică și ľi-afita caplu ti multe. aist, cum află ți va amirălu, fără multă minduire, îľi d̦îse a unuia di învițațľi:","atuntsea amirãlu acljimã un alt om, cari nu shtia ahãntã carte, ma eara cu multã practicã shi lji-afita caplu ti multe. aist, cum aflã tsi va amirãlu, fãrã multã minduire, ãlji dzãse a unuia di ãnvitsatslji:","when the emperor saw this, he called for another man, who did not know much about books, but was very practical and had a good mind for many things. when he found out what the emperor wanted, he said to one of the learned men, without thinking:","cuando el emperador vio esto, llamó a otro hombre, que no sabía mucho de libros, pero que era muy práctico y tenía buena cabeza para muchas cosas. cuando se enteró de lo que quería el emperador, le dijo a uno de los sabios, sin pensarlo:","voyant cela, l'empereur fit venir un autre homme, qui ne connaissait pas grand-chose aux livres, mais qui était très pratique et avait de l'esprit pour beaucoup de choses. lorsqu'il sut ce que voulait l'empereur, il dit à l'un des savants, sans réfléchir:",train
7,"- măi, omule, ia pune tu mâna pe una din lingurile ăstea și treci în colțul de colo al odăii; am să iau și eu o altă lingură, ca a ta, și trec în colțul ălălalt, dimpotrivă.","- a lai fărtate, l'ea tine ună di lingurile aiste și treț tu chioșlu ațel di-aclo; va s-l'eau ș-mine ună altă lingură, ca a ta, și va s-trec tu chioșlu di carși cu tine.","- a lai fărtate, ľea tine ună di lingurile aiste și treț tu chioșlu ațel di-aclo; va s-ľeau ș-mine ună altă lingură, ca a ta, și va s-trec tu chioșlu di carși cu tine.","- a lai fãrtate, ljea tine unã di lingurile aiste shi trets tu chioshlu atsel di-aclo; va s-ljeau sh-mine unã altã lingurã, ca a ta, shi va s-trec tu chioshlu di carshi cu tine.","- hey, man, you take one of these spoons and go to the other corner of the room; i'll take another spoon like yours and go to the other corner.","- oye, tío, coge una de estas cucharas y vete a la otra esquina de la habitación; yo cogeré otra cuchara como la tuya y me iré a la otra esquina.","- hé, mec, tu prends une de ces cuillères et tu vas dans l'autre coin de la pièce; je prends une autre cuillère comme la tienne et je vais dans l'autre coin.",train
8,"după ce făcură așa, înălță fiecare coada lingurii în colțul de sus și, apoi, înfipseră lingurile în castronul cu pilaf. cel cu practica întinse lingura și-i dete în gură celui cu teoria: umplu lingura și cel cu teoria și-l ospătă pe tovarășul lui cu practica. și au făcut așa, până se săturară.","după ți feațiră ași, înălțară coada a lingurilor tu chioșile din sus și di cara hipsiră lingurile tu cățănlu di pileaf, ațel cu practica timse linguara și ațel cu teoria și lu filipsi pi soțlu cu practica. și ași feațiră, pîn si săturară.","după ți feațiră ași, înălțară coada a lingurilor tu chioșile din sus și di cara hipsiră lingurile tu cățănlu di pileaf, ațel cu practica timse linguara și ațel cu teoria și lu filipsi pi soțlu cu practica. și ași feațiră, pîn si săturară.","dupã tsi featsirã ashi, ãnãltsarã coada a lingurilor tu chioshile din sus shi di cara hipsirã lingurile tu cãtsãnlu di pileaf, atsel cu practica timse linguara shi atsel cu teoria shi lu filipsi pi sotslu cu practica. shi ashi featsirã, pãn si sãturarã.","when they had done so, they each lifted the spoon tails into the top corner and then stuck the spoons into the bowl of pilaf. the one with the practice spoon extended the spoon and put it in the mouth of the one with the theory: he filled the spoon and the one with the theory and fed his companion with the practice. and they did so until they were full.","cuando lo hubieron hecho, cada uno levantó la cola de la cuchara hasta la esquina superior y luego metieron las cucharas en el cuenco de pilaf. el que tenía la cuchara de la práctica extendió la cuchara y se la metió en la boca al de la teoría: llenó la cuchara y el de la teoría y alimentó a su compañero con la práctica. y así lo hicieron hasta saciarse.","une fois cela fait, ils ont chacun soulevé les queues des cuillères dans le coin supérieur et ont ensuite enfoncé les cuillères dans le bol de pilaf. celui qui avait la cuillère de pratique l'étendit et la mit dans la bouche de celui qui avait la théorie: il remplit la cuillère et celui qui avait la théorie et donna à manger à son compagnon qui avait la pratique. et ils firent ainsi jusqu'à ce qu'ils soient rassasiés.",train
9,"văzând asta, oamenii strânși acolo, la tărășenie, au înțeles că cel cu teoria nu s-ar fi putut înfrupta din pilaf, dacă nu-l îndruma și nu-l ajuta cel cu practica.","cu aiste vidzute, tuț oamiñil'i adunaț aclo, ca s-mutrească, aduchiră că ațel cu teoria nu va s-putea s-măcă pileaf, ma s-nu vinea s-l'i da plan și s-l'i-agiută ațel cu practica.","cu aiste vid̦ute, tuț oamińiľi adunaț aclo, ca s-mutrească, aduchiră că ațel cu teoria nu va s-putea s-măcă pileaf, ma s-nu vinea s-ľi da plan și s-ľi-agiută ațel cu practica.","cu aiste vidzute, tuts oaminjilji adunats aclo, ca s-mutreascã, aduchirã cã atsel cu teoria nu va s-putea s-mãcã pileaf, ma s-nu vinea s-lji da plan shi s-lji-agiutã atsel cu practica.","seeing this, the people gathered there, at the gathering, understood that the one with the theory could not have eaten the pilaf if the one with the practice did not guide and help him.","al ver esto, los allí reunidos, en la tertulia, comprendieron que el de la teoría no podría haberse comido el pilaf si el de la práctica no le hubiera guiado y ayudado.","en voyant cela, les personnes rassemblées là, à la réunion, ont compris que celui qui avait la théorie n'aurait pas pu manger le pilaf si celui qui avait la pratique ne l'avait pas guidé et aidé.",train
